Kategori;Merek;Tahun;Mesin;Tenaga (BHP);Torsi (lb⋅ft);Berat (lbs);Source URL,,
Buggies;Meyers;2020s;N/A;200 to 299 bhp;200 to 299 lb⋅ft;1500 to 1999 lbs;https://forza.fandom.com/wiki/Meyers_Manx_2.0_EV,,
Buggies;Hoonigan;1970s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Hoonigan_Volkswagen_Baja_Beetle_Class_5/1600_%27Scumbug%27,,
Buggies;Volkswagen;1960s;1.0L to 1.9L Displacement;0 to 99 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Volkswagen_Class_5/1600_Baja_Bug,,
Buggies;Volkswagen;1970s;1.0L to 1.9L Displacement;0 to 99 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Volkswagen_1107_Desert_Dingo_Racing_Stock_Bug,,
Classic Muscle;Plymouth;1960s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Plymouth_Barracuda_Formula-S,
Classic Muscle;Mercury;1970s;7.0L to 7.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Mercury_Cyclone_Spoiler,
Classic Muscle;Holden;1970s;5.0L to 5.9L Displacement, V8;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Holden_Torana_A9X,
Classic Muscle;Holden;1970s;5.0L to 5.9L Displacement, V8;200 to 299 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Holden_HQ_Monaro_GTS_350,
Classic Muscle;Oldsmobile;1960s;7.0L to 7.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Oldsmobile_Toronado,
Classic Muscle;Ford;1960s;4.0L to 4.9L Displacement, V8;200 to 299 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_Mustang_GT_Coupe,
Classic Muscle;Shelby;1960s;7.0L to 7.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Shelby_GT_500,
Classic Muscle;Dodge;1960s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Dodge_Charger_R/T,
Classic Muscle;Pontiac;1960s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Pontiac_GTO_(1965),
Classic Muscle;Chevrolet;1970s;5.0L to 5.9L Displacement, V8;100 to 199 bhp;200 to 299 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Camaro_Z28_(1979),
Classic Muscle;Dodge;1970s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Dodge_Challenger_R/T,
Classic Muscle;Chevrolet;1970s;5.0L to 5.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Camaro_Z28_(1970),
Classic Muscle;Pontiac;1970s;7.0L to 7.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Pontiac_Firebird_Trans_Am_SD-455,
Classic Muscle;Plymouth;1970s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Plymouth_Cuda_426_HEMI,
Classic Muscle;Pontiac;1960s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Pontiac_Firebird,
Classic Muscle;Chevrolet;1970s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Chevelle_Super_Sport_454,
Classic Muscle;Pontiac;1970s;6.0L to 6.9L Displacement, V8;200 to 299 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Pontiac_Firebird_Trans_Am_(1977),
Classic Muscle;Dodge;1970s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Dodge_Coronet_Super_Bee,
Classic Muscle;Dodge;1960s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Dodge_Charger_Daytona_HEMI,
Classic Muscle;Chevrolet;1960s;5.0L to 5.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Chevrolet_Nova_Super_Sport,
Classic Muscle;Ford;1960s;4.0L to 4.9L Displacement, V8;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ford_Mustang_Boss_302_(1969),
Classic Muscle;Ford;1970s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ford_Falcon_XA_GT-HO,
Classic Muscle;Ford;1970s;5.0L to 5.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ford_XB_Falcon_GT,
Classic Muscle;Buick;1970s;7.0L to 7.9L Displacement, V8;300 to 399 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Buick_GSX,
Classic Muscle;Chevrolet;1970s;5.0L to 5.9L Displacement, V8;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_ZR-1_(1970),
Classic Muscle;AMC;1970s;6.0L to 6.9L Displacement, V8;300 to 399 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/AMC_Rebel_%22The_Machine%22,
Classic Muscle;Dodge;1960s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Dodge_Dart_HEMI_Super_Stock,
Classic Muscle;Hoonigan;1970s;7.0L to 7.9L Displacement, V8;400 to 499 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Hoonigan_Chevrolet_%22Napalm_Nova%22,
